PassengerId,Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,Deck,countDeck,Title,port_sex,Age_bin,FamilySize,Ticket_freq,Fare_bin
141,0,3,female,0,2,15,C,U,1014,Mrs,113,4,Small,3,high
142,1,3,female,0,0,7,S,U,1014,Miss,293,2,Alone,1,low
143,1,3,female,1,0,15,S,U,1014,Mrs,293,3,Small,2,high
144,0,3,male,0,0,6,Q,U,1014,Mr,63,1,Alone,1,low
145,0,2,male,0,0,11,S,U,1014,Mr,623,1,Alone,1,high
146,0,2,male,1,1,36,S,U,1014,Mr,623,1,Small,4,veryHigh
147,1,3,male,0,0,7,S,U,1014,Mr,623,4,Alone,1,low
148,0,3,female,2,2,34,S,U,1014,Miss,293,0,Medium,5,veryHigh
149,0,2,male,0,2,26,S,F,21,Mr,623,7,Small,3,veryHigh
150,0,2,male,0,0,13,S,U,1014,Rare,623,8,Alone,1,high
151,0,2,male,0,0,12,S,U,1014,Rare,623,9,Alone,1,high
152,1,1,female,1,0,66,S,C,94,Mrs,293,2,Small,2,superhigh
153,0,3,male,0,0,8,S,U,1014,Mr,623,9,Alone,1,medium
154,0,3,male,0,2,14,S,U,1014,Mr,623,7,Small,3,high
155,0,3,male,0,0,7,S,U,1014,Mr,623,7,Alone,1,low
156,0,1,male,0,1,61,C,U,1014,Mr,157,9,Small,2,superhigh
157,1,3,female,0,0,7,Q,U,1014,Miss,60,0,Alone,1,low
158,0,3,male,0,0,8,S,U,1014,Mr,623,5,Alone,1,medium
159,0,3,male,0,0,8,S,U,1014,Mr,623,3,Alone,1,medium
160,0,3,male,8,2,69,S,U,1014,Master,623,1,Large,11,superhigh
161,0,3,male,0,1,16,S,U,1014,Mr,623,8,Small,2,high
162,1,2,female,0,0,15,S,U,1014,Mrs,293,7,Alone,2,high
163,0,3,male,0,0,7,S,U,1014,Mr,623,4,Alone,1,low
164,0,3,male,0,0,8,S,U,1014,Mr,623,1,Alone,1,medium
165,0,3,male,4,1,39,S,U,1014,Master,623,0,Medium,7,veryHigh
166,1,3,male,0,2,20,S,U,1014,Master,623,0,Small,3,high
167,1,1,female,0,1,55,S,E,41,Mrs,293,4,Small,2,superhigh
168,0,3,female,1,4,27,S,U,1014,Mrs,293,8,Medium,6,veryHigh
169,0,1,male,0,0,25,S,U,1014,Mr,623,7,Alone,1,veryHigh
170,0,3,male,0,0,56,S,U,1014,Mr,623,4,Alone,8,superhigh
171,0,1,male,0,0,33,S,B,65,Mr,623,9,Alone,1,veryHigh
172,0,3,male,4,1,29,Q,U,1014,Master,63,0,Medium,6,veryHigh
173,1,3,female,1,1,11,S,U,1014,Miss,293,0,Small,3,high
174,0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1,low
175,0,1,male,0,0,30,C,A,22,Mr,157,9,Alone,1,veryHigh
176,0,3,male,1,1,7,S,U,1014,Mr,623,1,Small,1,low
177,0,3,male,3,1,25,S,U,1014,Master,623,7,Medium,5,veryHigh
178,0,1,female,0,0,28,C,C,94,Miss,113,9,Alone,1,veryHigh
179,0,2,male,0,0,13,S,U,1014,Mr,623,5,Alone,1,high
180,0,3,male,0,0,0,S,U,1014,Mr,623,7,Alone,4,low
181,0,3,female,8,2,69,S,U,1014,Miss,293,6,Large,11,superhigh
182,0,2,male,0,0,15,C,U,1014,Mr,157,5,Alone,1,high
183,0,3,male,4,2,31,S,U,1014,Master,623,0,Large,7,veryHigh
184,1,2,male,2,1,39,S,F,21,Master,623,0,Small,4,veryHigh
185,1,3,female,0,2,22,S,U,1014,Miss,293,0,Small,3,veryHigh
186,0,1,male,0,0,50,S,A,22,Mr,623,7,Alone,1,superhigh
187,1,3,female,1,0,15,Q,U,1014,Mrs,60,8,Small,2,high
188,1,1,male,0,0,26,S,U,1014,Mr,623,8,Alone,1,veryHigh
189,0,3,male,1,1,15,Q,U,1014,Mr,63,7,Small,2,high
190,0,3,male,0,0,7,S,U,1014,Mr,623,7,Alone,1,low
191,1,2,female,0,0,13,S,U,1014,Mrs,293,6,Alone,1,high
192,0,2,male,0,0,13,S,U,1014,Mr,623,1,Alone,1,high
193,1,3,female,1,0,7,S,U,1014,Miss,293,1,Small,1,low
194,1,2,male,1,1,26,S,F,21,Master,623,0,Small,3,veryHigh
195,1,1,female,0,0,27,C,B,65,Mrs,113,8,Alone,1,veryHigh
196,1,1,female,0,0,146,C,B,65,Miss,113,9,Alone,3,superhigh
197,0,3,male,0,0,7,Q,U,1014,Mr,63,6,Alone,1,low
198,0,3,male,0,1,8,S,U,1014,Mr,623,8,Small,1,medium
199,1,3,female,0,0,7,Q,U,1014,Miss,60,3,Alone,1,low
200,0,2,female,0,0,13,S,U,1014,Miss,293,3,Alone,1,high
201,0,3,male,0,0,9,S,U,1014,Mr,623,4,Alone,1,medium
202,0,3,male,8,2,69,S,U,1014,Mr,623,4,Large,11,superhigh
203,0,3,male,0,0,6,S,U,1014,Mr,623,6,Alone,1,low
204,0,3,male,0,0,7,C,U,1014,Mr,157,8,Alone,1,low
205,1,3,male,0,0,8,S,U,1014,Mr,623,1,Alone,1,medium
206,0,3,female,0,1,10,S,G,5,Miss,293,0,Small,2,medium
207,0,3,male,1,0,15,S,U,1014,Mr,623,6,Small,2,high
208,1,3,male,0,0,18,C,U,1014,Mr,157,4,Alone,2,high
209,1,3,female,0,0,7,Q,U,1014,Miss,60,0,Alone,1,low
210,1,1,male,0,0,31,C,A,22,Mr,157,7,Alone,1,veryHigh
211,0,3,male,0,0,7,S,U,1014,Mr,623,3,Alone,1,low
212,1,2,female,0,0,21,S,U,1014,Miss,293,6,Alone,2,high
213,0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1,low
214,0,2,male,0,0,13,S,U,1014,Mr,623,5,Alone,1,high
215,0,3,male,1,0,7,Q,U,1014,Mr,63,8,Small,1,low
216,1,1,female,1,0,113,C,D,46,Miss,113,5,Small,3,superhigh
217,1,3,female,0,0,7,S,U,1014,Miss,293,4,Alone,1,low
218,0,2,male,1,0,27,S,U,1014,Mr,623,8,Small,2,veryHigh
219,1,1,female,0,0,76,C,D,46,Miss,113,6,Alone,2,superhigh
220,0,2,male,0,0,10,S,U,1014,Mr,623,5,Alone,1,medium
221,1,3,male,0,0,8,S,U,1014,Mr,623,0,Alone,1,medium
222,0,2,male,0,0,13,S,U,1014,Mr,623,4,Alone,1,high
223,0,3,male,0,0,8,S,U,1014,Mr,623,9,Alone,1,medium
224,0,3,male,0,0,7,S,U,1014,Mr,623,3,Alone,1,low
225,1,1,male,1,0,90,S,C,94,Mr,623,7,Small,2,superhigh
226,0,3,male,0,0,9,S,U,1014,Mr,623,2,Alone,1,medium
227,1,2,male,0,0,10,S,U,1014,Mr,623,1,Alone,1,medium
228,0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1,low
229,0,2,male,0,0,13,S,U,1014,Mr,623,1,Alone,1,high
230,0,3,female,3,1,25,S,U,1014,Miss,293,7,Medium,5,veryHigh
231,1,1,female,1,0,83,S,C,94,Mrs,293,6,Small,2,superhigh
232,0,3,male,0,0,7,S,U,1014,Mr,623,5,Alone,1,low
233,0,2,male,0,0,13,S,U,1014,Mr,623,9,Alone,1,high
234,1,3,female,4,2,31,S,U,1014,Miss,293,0,Large,7,veryHigh
235,0,2,male,0,0,10,S,U,1014,Mr,623,3,Alone,1,medium
236,0,3,female,0,0,7,S,U,1014,Miss,293,2,Alone,1,low
237,0,2,male,1,0,26,S,U,1014,Mr,623,8,Small,2,veryHigh
238,1,2,female,0,2,26,S,U,1014,Miss,293,0,Small,3,veryHigh
239,0,2,male,0,0,10,S,U,1014,Mr,623,1,Alone,1,medium
240,0,2,male,0,0,12,S,U,1014,Mr,623,6,Alone,1,high
241,0,3,female,1,0,14,C,U,1014,Miss,113,3,Small,2,high
242,1,3,female,1,0,15,Q,U,1014,Miss,60,8,Small,2,high
243,0,2,male,0,0,10,S,U,1014,Mr,623,5,Alone,1,medium
244,0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1,low
245,0,3,male,0,0,7,C,U,1014,Mr,157,5,Alone,1,low
246,0,1,male,2,0,90,Q,C,94,Rare,63,8,Small,3,superhigh
247,0,3,female,0,0,7,S,U,1014,Miss,293,3,Alone,1,low
248,1,2,female,0,2,14,S,U,1014,Mrs,293,3,Small,2,high
249,1,1,male,1,1,52,S,D,46,Mr,623,7,Small,2,superhigh
250,0,2,male,1,0,26,S,U,1014,Rare,623,9,Small,2,veryHigh
251,0,3,male,0,0,7,S,U,1014,Mr,623,3,Alone,1,low
252,0,3,female,1,1,10,S,G,5,Mrs,293,5,Small,2,medium
253,0,1,male,0,0,26,S,C,94,Mr,623,9,Alone,1,veryHigh
254,0,3,male,1,0,16,S,U,1014,Mr,623,5,Small,2,high
255,0,3,female,0,2,20,S,U,1014,Mrs,293,8,Small,3,high
256,1,3,female,0,2,15,C,U,1014,Mrs,113,5,Small,3,high
257,1,1,female,0,0,79,C,U,1014,Mrs,113,0,Alone,2,superhigh
258,1,1,female,0,0,86,S,B,65,Miss,293,5,Alone,3,superhigh
259,1,1,female,0,0,512,C,U,1014,Miss,113,6,Alone,4,superhigh
260,1,2,female,0,1,26,S,U,1014,Mrs,293,9,Small,2,veryHigh
261,0,3,male,0,0,7,Q,U,1014,Mr,63,6,Alone,1,low
262,1,3,male,4,2,31,S,U,1014,Master,623,0,Large,7,veryHigh
263,0,1,male,1,1,79,S,E,41,Mr,623,9,Small,3,superhigh
264,0,1,male,0,0,0,S,B,65,Mr,623,7,Alone,1,low
265,0,3,female,0,0,7,Q,U,1014,Miss,60,7,Alone,1,low
266,0,2,male,0,0,10,S,U,1014,Mr,623,7,Alone,1,medium
267,0,3,male,4,1,39,S,U,1014,Mr,623,0,Medium,7,veryHigh
268,1,3,male,1,0,7,S,U,1014,Mr,623,3,Small,1,low
269,1,1,female,0,1,153,S,C,94,Mrs,293,9,Small,3,superhigh
270,1,1,female,0,0,135,S,C,94,Miss,293,6,Alone,4,superhigh
271,0,1,male,0,0,31,S,U,1014,Mr,623,7,Alone,2,veryHigh
272,1,3,male,0,0,0,S,U,1014,Mr,623,3,Alone,4,low
273,1,2,female,0,1,19,S,U,1014,Mrs,293,8,Small,2,high
274,0,1,male,0,1,29,C,C,94,Mr,157,7,Small,1,veryHigh
275,1,3,female,0,0,7,Q,U,1014,Miss,60,7,Alone,1,low
276,1,1,female,1,0,77,S,D,46,Miss,293,9,Small,3,superhigh
277,0,3,female,0,0,7,S,U,1014,Miss,293,8,Alone,1,low
278,0,2,male,0,0,0,S,U,1014,Mr,623,3,Alone,3,low
279,0,3,male,4,1,29,Q,U,1014,Master,63,0,Medium,6,veryHigh
280,1,3,female,1,1,20,S,U,1014,Mrs,293,6,Small,3,high
281,0,3,male,0,0,7,Q,U,1014,Mr,63,9,Alone,1,low
282,0,3,male,0,0,7,S,U,1014,Mr,623,4,Alone,1,low
283,0,3,male,0,0,9,S,U,1014,Mr,623,0,Alone,1,medium
284,1,3,male,0,0,8,S,U,1014,Mr,623,1,Alone,1,medium
285,0,1,male,0,0,26,S,A,22,Mr,623,1,Alone,1,veryHigh
286,0,3,male,0,0,8,C,U,1014,Mr,157,6,Alone,1,medium
287,1,3,male,0,0,9,S,U,1014,Mr,623,5,Alone,1,medium
288,0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1,low
289,1,2,male,0,0,13,S,U,1014,Mr,623,8,Alone,1,high
290,1,3,female,0,0,7,Q,U,1014,Miss,60,2,Alone,1,low
291,1,1,female,0,0,78,S,U,1014,Miss,293,4,Alone,3,superhigh
292,1,1,female,1,0,91,C,B,65,Mrs,113,1,Small,2,superhigh
293,0,2,male,0,0,12,C,D,46,Mr,157,7,Alone,1,high
294,0,3,female,0,0,8,S,U,1014,Miss,293,3,Alone,1,medium
295,0,3,male,0,0,7,S,U,1014,Mr,623,3,Alone,1,low
296,0,1,male,0,0,27,C,U,1014,Mr,157,7,Alone,1,veryHigh
297,0,3,male,0,0,7,C,U,1014,Mr,157,3,Alone,1,low
298,0,1,female,1,2,151,S,C,94,Miss,293,0,Small,6,superhigh
299,1,1,male,0,0,30,S,C,94,Mr,623,6,Alone,1,veryHigh
300,1,1,female,0,1,247,C,B,65,Mrs,113,9,Small,3,superhigh
301,1,3,female,0,0,7,Q,U,1014,Miss,60,6,Alone,1,low
302,1,3,male,2,0,23,Q,U,1014,Mr,63,0,Small,3,veryHigh
303,0,3,male,0,0,0,S,U,1014,Mr,623,1,Alone,4,low
304,1,2,female,0,0,12,Q,E,41,Miss,60,6,Alone,1,high
305,0,3,male,0,0,8,S,U,1014,Mr,623,0,Alone,1,medium
306,1,1,male,1,2,151,S,C,94,Master,623,0,Small,6,superhigh
307,1,1,female,0,0,110,C,U,1014,Miss,113,4,Alone,4,superhigh
308,1,1,female,1,0,108,C,C,94,Mrs,113,1,Small,3,superhigh
309,0,2,male,1,0,24,C,U,1014,Mr,157,5,Small,2,veryHigh
310,1,1,female,0,0,56,C,E,41,Miss,113,5,Alone,2,superhigh
311,1,1,female,0,0,83,C,C,94,Miss,113,3,Alone,3,superhigh
312,1,1,female,2,2,262,C,B,65,Miss,113,1,Medium,7,superhigh
313,0,2,female,1,1,26,S,U,1014,Mrs,293,4,Small,2,veryHigh
314,0,3,male,0,0,7,S,U,1014,Mr,623,4,Alone,1,low
315,0,2,male,1,1,26,S,U,1014,Mr,623,8,Small,3,veryHigh
316,1,3,female,0,0,7,S,U,1014,Miss,293,4,Alone,1,low
317,1,2,female,1,0,26,S,U,1014,Mrs,293,3,Small,2,veryHigh
318,0,2,male,0,0,14,S,U,1014,Rare,623,9,Alone,1,high
319,1,1,female,0,2,164,S,C,94,Miss,293,5,Small,4,superhigh
320,1,1,female,1,1,134,C,E,41,Mrs,113,7,Small,5,superhigh
321,0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1,low
322,0,3,male,0,0,7,S,U,1014,Mr,623,4,Alone,1,low
323,1,2,female,0,0,12,Q,U,1014,Miss,60,5,Alone,1,high
324,1,2,female,1,1,29,S,U,1014,Mrs,293,2,Small,3,veryHigh
325,0,3,male,8,2,69,S,U,1014,Mr,623,2,Large,11,superhigh
326,1,1,female,0,0,135,C,C,94,Miss,113,7,Alone,4,superhigh
327,0,3,male,0,0,6,S,U,1014,Mr,623,9,Alone,1,low
328,1,2,female,0,0,13,S,D,46,Mrs,293,7,Alone,1,high
329,1,3,female,1,1,20,S,U,1014,Mrs,293,5,Small,3,high
330,1,1,female,0,1,57,C,B,65,Miss,113,1,Small,2,superhigh
331,1,3,female,2,0,23,Q,U,1014,Miss,60,5,Small,3,veryHigh
332,0,1,male,0,0,28,S,C,94,Mr,623,8,Alone,1,veryHigh
333,0,1,male,0,1,153,S,C,94,Mr,623,7,Small,3,superhigh
334,0,3,male,2,0,18,S,U,1014,Mr,623,1,Small,2,high
335,1,1,female,1,0,133,S,U,1014,Mrs,293,4,Small,2,superhigh
336,0,3,male,0,0,7,S,U,1014,Mr,623,5,Alone,1,low
337,0,1,male,1,0,66,S,C,94,Mr,623,5,Small,2,superhigh
338,1,1,female,0,0,134,C,E,41,Miss,113,8,Alone,5,superhigh
339,1,3,male,0,0,8,S,U,1014,Mr,623,8,Alone,1,medium
340,0,1,male,0,0,35,S,T,1,Mr,623,8,Alone,1,veryHigh
341,1,2,male,1,1,26,S,F,21,Master,623,0,Small,3,veryHigh
342,1,1,female,3,2,263,S,C,94,Miss,293,3,Medium,6,superhigh
343,0,2,male,0,0,13,S,U,1014,Mr,623,4,Alone,1,high
344,0,2,male,0,0,13,S,U,1014,Mr,623,3,Alone,1,high
345,0,2,male,0,0,13,S,U,1014,Mr,623,7,Alone,1,high
346,1,2,female,0,0,13,S,F,21,Miss,293,3,Alone,1,high
347,1,2,female,0,0,13,S,U,1014,Miss,293,7,Alone,1,high
348,1,3,female,1,0,16,S,U,1014,Mrs,293,8,Small,2,high
349,1,3,male,1,1,15,S,U,1014,Master,623,0,Small,3,high
350,0,3,male,0,0,8,S,U,1014,Mr,623,8,Alone,1,medium
351,0,3,male,0,0,9,S,U,1014,Mr,623,3,Alone,1,medium
352,0,1,male,0,0,35,S,C,94,Mr,623,7,Alone,1,veryHigh
353,0,3,male,1,1,7,C,U,1014,Mr,157,0,Small,1,low
354,0,3,male,1,0,17,S,U,1014,Mr,623,3,Small,2,high
355,0,3,male,0,0,7,C,U,1014,Mr,157,2,Alone,1,low
356,0,3,male,0,0,9,S,U,1014,Mr,623,4,Alone,1,medium
357,1,1,female,0,1,55,S,E,41,Miss,293,2,Small,2,superhigh
358,0,2,female,0,0,13,S,U,1014,Miss,293,7,Alone,1,high
359,1,3,female,0,0,7,Q,U,1014,Miss,60,4,Alone,1,low
360,1,3,female,0,0,7,Q,U,1014,Miss,60,5,Alone,1,low
361,0,3,male,1,4,27,S,U,1014,Mr,623,7,Medium,6,veryHigh
362,0,2,male,1,0,27,C,U,1014,Mr,157,5,Small,2,veryHigh
363,0,3,female,0,1,14,C,U,1014,Mrs,113,8,Small,2,high
